DATASET_MULTIBAR
#In multi-value bar charts, each ID is associated to multiple numeric values, which are displayed as a stacked or aligned bar chart
#lines starting with a hash are comments and ignored during parsing
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL,example multi bar chart

#dataset color (can be changed later)
COLOR,#ff0000

#define colors for each individual field column (if

#field labels

#=================================================================#
#                    OPTIONAL SETTINGS                            #
#=================================================================#

#dataset scale: you can simply set the values where the scale will be drawn
#DATASET_SCALE,2000,10000,20000
#or you can specify value, label, color, width, style and label size factor for each scale line (dash separated, format: VALUE-LABEL-COLOR-WIDTH-DASHED-LABEL_SCALE_FACTOR)) 
#DATASET_SCALE,2000-2k line-#0000ff-5-1-1,10000-line at 10k-#ff0000-1-0-2,20000-3rd line-#00ff00-5-1-1

#=================================================================#
#     all other optional settings can be set or changed later     #
#           in the web interface (under 'Datasets' tab)           #
#=================================================================#

#maximum width
WIDTH,1000

#left margin, used to increase/decrease the spacing to the next dataset. Can be negative, causing datasets to overlap.
MARGIN,0

#always show internal values; if set, values associated to internal nodes will be displayed even if these nodes are not collapsed. It could cause overlapping in the dataset display.
SHOW_INTERNAL,0

#bar height factor; Default bar height will be slightly less than the available space between leaves, but you can set a multiplication factor here to increase/decrease it (values from 0 to 1 will decrease it, values above 1 will increase it)
HEIGHT_FACTOR,1

#Bars are aligned to the node lines by default. Using BAR_SHIFT, you can move them all up/down by
BAR_SHIFT,0

#align individual fields; if set to 1, individual bar charts will not be stacked
ALIGN_FIELDS,0
FIELD_LABELS,Ice binding	
FIELD_COLORS,orange
DATASET_SCALE,10,50

#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
DATA
#ID1,Source,Target
#2769,0,0
2711,0
2769,0
2788,10
3055,18
3067,0
3075,0
3088,8
3197,1
3218,0
3225,0
3352,0
3369,0
3435,0
3469,0
3483,0
3486,3
3494,0
3512,0
3517,0
3555,0
3562,0
3570,0
3572,0
3617,1
3635,0
3641,0
3649,0
3654,0
3656,0
3659,0
3663,0
3691,0
3694,1
3696,0
3702,0
3707,0
3708,0
3711,2
3712,11
3726,0
3750,0
3752,0
3755,0
3760,0
3816,0
3818,0
3821,0
3824,0
3827,1
3830,0
3847,7
3848,0
3860,0
3870,0
3871,0
3880,0
3885,0
3886,0
3888,0
3891,0
3899,0
3906,0
3914,0
3915,0
3916,0
3917,0
3981,0
3983,0
3986,0
3988,0
4006,0
4023,0
4024,0
4058,0
4072,0
4081,0
4084,0
4097,0
4109,1
4113,0
4155,0
4182,0
4217,1
4232,0
4236,0
4265,0
4283,0
4432,0
4442,0
4465,0
4498,0
4511,0
4521,0
4522,0
4528,0
4529,0
4530,0
4533,0
4536,0
4537,0
4538,0
4540,0
4550,0
4555,1
4556,0
4558,0
4565,0
4577,0
4615,1
4628,0
4686,0
13288,1
13427,0
13443,0
13451,0
13579,0
13708,0
13715,0
13818,0
13894,0
15368,0
22663,0
22666,0
23211,0
28502,0
28526,1
28532,0
29655,0
29656,0
29695,0
29722,0
29729,0
29730,0
29760,0
29780,0
29808,1
32201,0
32224,3
32244,0
33114,0
33119,0
34168,0
34294,0
34305,0
35885,0
36596,0
36774,6
38414,0
38705,0
38722,0
38727,0
38785,0
38833,0
38846,0
38873,0
38942,0
39946,0
39947,0
40148,0
40149,0
40686,0
41875,0
42229,0
42345,0
43366,0
43536,0
43782,0
45249,3
45834,1
49168,0
49212,0
49369,0
49390,0
49451,0
49495,0
50273,0
50452,0
51239,0
51240,0
51605,0
51953,0
52838,1
53036,0
54955,0
55184,0
55363,0
55513,0
55571,0
55577,0
56036,0
57577,0
57918,0
57926,0
58331,1
59490,0
59895,0
60698,0
62335,0
63359,0
63459,0
63677,1
63787,0
66656,0
69332,4
70448,0
71139,0
72664,0
72917,0
74645,0
74649,0
75079,0
75702,0
75948,0
77065,0
77586,0
78828,0
79200,0
80379,2
81972,0
81985,0
85681,0
86752,0
88036,0
89674,0
90397,0
90675,0
92480,0
94219,0
94328,0
96939,0
97700,0
99300,0
99658,0
102107,0
102211,0
103349,1
109376,0
110835,0
112509,0
112863,0
112874,0
114280,1
118357,0
118781,0
119954,0
128206,1
128215,0
128251,1
130081,0
130453,0
130454,0
147425,0
152367,0
152371,0
155640,0
158149,0
158383,0
158543,0
161865,0
165200,0
167791,0
168488,0
168575,0
172797,0
175694,0
176857,0
178133,0
180498,0
180675,0
182163,0
185202,0
187284,0
192012,0
195583,0
198213,0
200361,0
206008,0
210143,0
210225,10
212925,0
214687,0
217475,0
219896,0
225117,0
226208,0
229202,0
236973,0
240449,1
243964,2
248742,0
252529,0
253017,0
261450,0
262757,0
262921,0
264402,0
273540,0
280699,0
296587,0
309978,0
315347,2
320322,0
325984,0
326968,0
347529,0
360336,0
360622,0
362788,0
397392,0
402998,3
425828,0
434234,0
434235,0
436017,0
455371,0
458696,0
461633,0
479676,0
544730,0
554065,0
561372,0
586398,1
586722,0
889485,0
906689,0
906938,0
981085,0
1000413,0
1010633,0
1070856,0
1148796,0
1278906,0
1413687,0
1470871,0
1590841,0
1764295,0
1813537,0
1840588,1
1862640,0
2022672,0
2182728,0
2249226,0
2315456,0
2448454,0
2511006,0
2594499,0
2742167,0
2759587,7
2812611,0
3014308,192
3014309,131
3162873,1
